"Freq [GHz]","AbsorbanceTE []","AbsorbanceTM []"
31.44,0.00239111321783569,0.00500878583063369
31.45,0.00238885800481425,0.00499954990030027
31.46,0.00238660987483452,0.00499034866563342
31.47,0.00238436880658321,0.00498118197260744
31.48,0.00238213477861871,0.00497204966749532
31.49,0.00237990776938091,0.00496295159688176
31.5,0.00237768775718183,0.0049538876076618
31.51,0.00237547472024224,0.0049448575470753
31.52,0.00237326863664089,0.0049358612626712
31.53,0.00237106948437693,0.00492689860237072
31.54,0.00236887724135249,0.00491796941444578
31.55,0.0023666918853309,0.00490907354748238
31.56,0.00236451339403188,0.00490021085049452
31.57,0.00236234174505079,0.00489138117283683
31.58,0.00236017691590817,0.00488258436424871
31.59,0.00235801888403808,0.00487382027485983
31.6,0.00235586762680218,0.00486508875520686
31.61,0.00235372312149595,0.00485638965623247
31.62,0.00235158534529312,0.00484772282924861
31.63,0.00234945427537092,0.0048390881260455
31.64,0.00234732988878683,0.00483048539878794
31.65,0.00234521216255479,0.00482191450009162
31.66,0.00234310107363644,0.00481337528300319
31.67,0.00234099659893072,0.00480486760101351
31.68,0.00233889871529791,0.00479639130806675
31.69,0.00233680739953113,0.00478794625854884
31.7,0.00233472262837542,0.00477953230729156
31.71,0.00233264437857139,0.00477114930963773
31.72,0.00233057262677661,0.00476279712135197
31.73,0.00232850734963796,0.00475447559870057
31.74,0.00232644852375652,0.00474618459841514
31.75,0.00232439612573465,0.00473792397774131
31.76,0.00232235013209259,0.00472969359436459
31.77,0.00232031051939818,0.00472149330652916
31.78,0.00231827726412992,0.0047133229729156
31.79,0.00231625034279848,0.00470518245275886
31.8,0.00231422973187567,0.00469707160577038
31.81,0.00231221540782289,0.00468899029218417
31.82,0.00231020734709997,0.00468093837275341
31.83,0.0023082055261664,0.00467291570876294
31.84,0.00230620992146169,0.0046649221619981
31.85,0.00230422050942392,0.00465695759477835
31.86,0.00230223726651935,0.00464902186998239
31.87,0.00230026016917928,0.00464111485098317
31.88,0.00229828919387731,0.00463323640172464
31.89,0.00229632431708104,0.00462538638668608
31.9,0.00229436551526518,0.00461756467088081
31.91,0.00229241276492709,0.00460977111988181
31.92,0.00229046604258409,0.00460200559981927
31.93,0.00228852532477375,0.0045942679773755
31.94,0.00228659058801473,0.00458655811975572
31.95,0.00228466180891107,0.00457887589477979
31.96,0.00228273896405617,0.00457122117080178
31.97,0.00228082203008484,0.00456359381674587
31.98,0.00227891098366118,0.00455599370211135
31.99,0.00227700580146517,0.00454842069694783
32,0.00227510646022622,0.00454087467189146
32.01,0.00227321293673655,0.00453335549817468
32.02,0.00227132520776574,0.0045258630475532
32.03,0.0022694432501762,0.00451839719241365
32.04,0.00226756704084918,0.00451095780569211
32.05,0.00226569655673126,0.00450354476092962
32.06,0.00226383177478362,0.00449615793221969
32.07,0.00226197267204364,0.00448879719427375
32.08,0.00226011922559655,0.00448146242238068
32.09,0.00225827141257617,0.00447415349241309
32.1,0.00225642921014857,0.00446687028082371
32.11,0.00225459259557959,0.0044596126646812
32.12,0.00225276154615106,0.004452380521626
32.13,0.00225093603923776,0.0044451737299076
32.14,0.00224911605225719,0.00443799216836149
32.15,0.00224730156269382,0.00443083571641867
32.16,0.00224549254809359,0.00442370425410687
32.17,0.00224368898606297,0.00441659766204272
32.18,0.0022418908543077,0.00440951582147486
32.19,0.00224009813055692,0.00440245861420174
32.2,0.00223831079264358,0.00439542592265885
32.21,0.00223652881846148,0.00438841762986453
32.22,0.00223475218598257,0.00438143361944487
32.23,0.0022329808732412,0.00437447377561428
32.24,0.00223121485836686,0.00436753798320677
32.25,0.00222945411955333,0.00436062612764343
32.26,0.00222769863507166,0.00435373809494122
32.27,0.00222594838329671,0.00434687377175103
32.28,0.00222420334264439,0.00434003304527741
32.29,0.00222246349166311,0.00433321580337365
32.3,0.00222072880894075,0.00432642193446076
32.31,0.00221899927316471,0.00431965132755929
32.32,0.00221727486313361,0.00431290387233407
32.33,0.00221555555770581,0.00430617945900569
32.34,0.00221384133582259,0.00429947797839914
32.35,0.00221213217655014,0.00429279932197291
32.36,0.0022104280590165,0.00428614338175437
32.37,0.00220872896244817,0.00427951005037963
32.38,0.00220703486616092,0.00427289922107343
32.39,0.00220534574957976,0.00426631078767914
32.4,0.00220366159221208,0.00425974464462642
32.41,0.00220198237366631,0.00425320068694124
32.42,0.00220030807364002,0.00424667881024354
32.43,0.00219863867194803,0.00424017891076067
32.44,0.00219697414846853,0.0042337008852863
32.45,0.00219531448321475,0.00422724463124113
32.46,0.00219365965629215,0.00422081004662711
32.47,0.00219200964788235,0.0042143970300168
32.48,0.00219036443830667,0.00420800548060662
32.49,0.00218872400796644,0.00420163529816775
32.5,0.00218708833735437,0.00419528638303834
32.51,0.00218545740710341,0.00418895863618551
32.52,0.00218383119792087,0.00418265195912748
32.53,0.00218220969063265,0.00417636625398465
32.54,0.00218059286616468,0.00417010142345375
32.55,0.00217898070556222,0.0041638573708237
32.56,0.0021773731899597,0.00415763399994851
32.57,0.00217577030060534,0.00415143121526573
32.58,0.0021741720188635,0.00414524892179913
32.59,0.00217257832620499,0.00413908702514632
32.6,0.00217098920420677,0.00413294543147291
32.61,0.00216940463454651,0.00412682404751397
32.62,0.00216782459903475,0.00412072278059572
32.63,0.00216624907957996,0.00411464153859731
32.64,0.00216467805819776,0.0041085802299714
32.65,0.00216311151702564,0.00410253876373623
32.66,0.00216154943830504,0.004096517049475
32.67,0.00215999180438309,0.00409051499732405
32.68,0.00215843859774445,0.00408453251800234
32.69,0.00215688980096551,0.0040785695227723
32.7,0.00215534539674633,0.00407262592345814
32.71,0.00215380536789656,0.00406670163244061
32.72,0.00215226969734339,0.00406079656265212
32.73,0.00215073836812119,0.00405491062757801
32.74,0.00214921136338542,0.00404904374124837
32.75,0.00214768866640391,0.00404319581824508
32.76,0.0021461702605694,0.00403736677370381
32.77,0.00214465612937187,0.0040315565232879
32.78,0.00214314625642764,0.00402576498321194
32.79,0.00214164062546518,0.0040199920702233
32.8,0.00214013922035272,0.00401423770163167
32.81,0.00213864202501779,0.00400850179522905
32.82,0.00213714902356521,0.00400278426939871
32.83,0.00213566020018352,0.00399708504301921
32.84,0.00213417553918382,0.00399140403550902
32.85,0.00213269502499691,0.00398574116681361
32.86,0.00213121864215993,0.00398009635739272
32.87,0.00212974637534968,0.00397446952824632
32.88,0.00212827820932482,0.00396886060086887
32.89,0.00212681412899052,0.00396326949729786
32.9,0.00212535411935755,0.00395769614006769
32.91,0.00212389816555336,0.00395214045223213
32.92,0.0021224462528191,0.00394660235735222
32.93,0.00212099836651669,0.00394108177949892
32.94,0.00211955449213097,0.00393557864325567
32.95,0.00211811461524558,0.00393009287369039
32.96,0.00211667872158194,0.00392462439639307
32.97,0.00211524679695996,0.0039191731374334
32.98,0.00211381882731831,0.0039137390233851
32.99,0.00211239479872971,0.00390832198132318
33,0.00211097469736188,0.0039029219387976
33.01,0.00210955850950467,0.00389753882385369
33.02,0.00210814622157174,0.00389217256502583
33.03,0.00210673782008497,0.00388682309133137
33.04,0.00210533329167006,0.00388149033225071
33.05,0.00210393262309871,0.00387617421777464
33.06,0.00210253580123088,0.00387087467834601
33.07,0.00210114281305551,0.00386559164488975
33.08,0.0020997536456665,0.00386032504879386
33.09,0.00209836828628251,0.00385507482192804
33.1,0.00209698672222369,0.00384984089660723
33.11,0.0020956089409383,0.00384462320562551
33.12,0.00209423492998551,0.0038394216822446
33.13,0.00209286467702985,0.00383423626015988
33.14,0.00209149816984788,0.00382906687353157
33.15,0.00209013539635394,0.00382391345699062
33.16,0.00208877634454385,0.00381877594559266
33.17,0.00208742100253778,0.00381365427484714
33.18,0.00208606935858258,0.00380854838072509
33.19,0.00208472140101257,0.00380345819961558
33.2,0.00208337711829643,0.0037983836683726
33.21,0.00208203649899363,0.00379332472425742
33.22,0.00208069953179069,0.00378828130499387
33.23,0.00207936620548388,0.00378325334872598
33.24,0.00207803650897442,0.00377824079402933
33.25,0.00207671043126667,0.0037732435798925
33.26,0.00207538796148476,0.00376826164574551
33.27,0.00207406908887542,0.00376329493144478
33.28,0.00207275380277294,0.00375834337725178
33.29,0.00207144209262089,0.00375340692383752
33.3,0.00207013394798461,0.00374848551230778
33.31,0.00206882935853392,0.00374357908416978
33.32,0.00206752831404766,0.00373868758133877
33.33,0.00206623080440271,0.00373381094613967
33.34,0.00206493681958464,0.00372894912128674
33.35,0.00206364634971123,0.00372410204992668
33.36,0.0020623593849638,0.00371926967556757
33.37,0.00206107591566285,0.00371445194213504
33.38,0.00205979593222505,0.00370964879394875
33.39,0.00205851942517199,0.00370486017571492
33.4,0.00205724638512306,0.00370008603252037
