Frequency_GHz,Abs0deg,Abs10deg,Abs20deg
76.3406813627,4.60262415411661e-05,2.82985009021435e-05,2.82985009021435e-05
76.3466933868,4.61986400324148e-05,2.83497397474433e-05,2.83497397474433e-05
76.3527054108,4.67300237677061e-05,2.92093844467579e-05,2.92093844467579e-05
76.3587174349,4.67433242037736e-05,2.88694262289119e-05,2.88694262289119e-05
76.3647294589,4.76138194738465e-05,2.87412234637223e-05,2.87412234637223e-05
76.370741483,4.75420228400619e-05,2.87050119975206e-05,2.87050119975206e-05
76.376753507,4.71455929609588e-05,2.91132964050924e-05,2.91132964050924e-05
76.3827655311,4.69627627985891e-05,2.88897492863401e-05,2.88897492863401e-05
76.3887775551,4.7284775738377e-05,2.9052666102714e-05,2.9052666102714e-05
76.3947895792,4.72395845602526e-05,2.89821730353698e-05,2.89821730353698e-05
76.4008016032,4.79734965438264e-05,2.91566620931035e-05,2.91566620931035e-05
76.4068136273,4.81759388640853e-05,2.89556376921483e-05,2.89556376921483e-05
76.4128256513,4.75941148128358e-05,2.88451767548912e-05,2.88451767548912e-05
76.4188376754,4.80586432995382e-05,2.93835236953818e-05,2.93835236953818e-05
76.4248496994,4.84989229343004e-05,2.97786301663712e-05,2.97786301663712e-05
76.4308617234,4.92180922555315e-05,2.90041114427112e-05,2.90041114427112e-05
76.4368737475,4.93881633525555e-05,2.96383805961492e-05,2.96383805961492e-05
76.4428857715,4.88355911438224e-05,2.9499472824069e-05,2.9499472824069e-05
76.4488977956,4.93731680522611e-05,2.99909629477219e-05,2.99909629477219e-05
76.4549098196,4.91614626501998e-05,2.98591365521596e-05,2.98591365521596e-05
76.4609218437,4.93393772375085e-05,2.9467103446535e-05,2.9467103446535e-05
76.4669338677,4.9877040918808e-05,2.9736991925204e-05,2.9736991925204e-05
76.4729458918,4.96094687212971e-05,2.98019765539207e-05,2.98019765539207e-05
76.4789579158,5.02375787609619e-05,3.01664407924885e-05,3.01664407924885e-05
76.4849699399,5.05626414038707e-05,3.00504782446327e-05,3.00504782446327e-05
76.4909819639,4.95453926089822e-05,3.00181453007789e-05,3.00181453007789e-05
76.496993988,5.03196042623873e-05,2.97830158933317e-05,2.97830158933317e-05
76.503006012,5.11491094195872e-05,3.03942413766839e-05,3.03942413766839e-05
76.5090180361,5.07697912504267e-05,3.03662158360264e-05,3.03662158360264e-05
76.5150300601,5.08884390372166e-05,3.05122965056371e-05,3.05122965056371e-05
76.5210420842,5.19785576145078e-05,3.04031677929187e-05,3.04031677929187e-05
76.5270541082,5.09076082326522e-05,3.0342935978115e-05,3.0342935978115e-05
76.5330661323,5.20048985896283e-05,3.04939829170031e-05,3.04939829170031e-05
76.5390781563,5.13846116186123e-05,3.08525261076481e-05,3.08525261076481e-05
76.5450901804,5.22170865582287e-05,3.09386935276941e-05,3.09386935276941e-05
76.5511022044,5.20219047508848e-05,3.04226789174895e-05,3.04226789174895e-05
76.5571142285,5.23331454180847e-05,3.07698035064542e-05,3.07698035064542e-05
76.5631262525,5.26484727563743e-05,3.10913676689874e-05,3.10913676689874e-05
76.5691382766,5.20661248603158e-05,3.13202957488968e-05,3.13202957488968e-05
76.5751503006,5.28327784222466e-05,3.11170771204807e-05,3.11170771204807e-05
76.5811623246,5.35374626304492e-05,3.11905053948404e-05,3.11905053948404e-05
76.5871743487,5.37488300005176e-05,3.15923489475052e-05,3.15923489475052e-05
76.5931863727,5.3540028730779e-05,3.17224493042609e-05,3.17224493042609e-05
76.5991983968,5.4399642035012e-05,3.188155646373e-05,3.188155646373e-05
76.6052104208,5.41880410402077e-05,3.19147037444044e-05,3.19147037444044e-05
76.6112224449,5.49712449657745e-05,3.1931835014918e-05,3.1931835014918e-05
76.6172344689,5.56525557857377e-05,3.1953681590104e-05,3.1953681590104e-05
76.623246493,5.5080535392724e-05,3.24949494452243e-05,3.24949494452243e-05
76.629258517,5.50844263824337e-05,3.22229494067386e-05,3.22229494067386e-05
76.6352705411,5.55551632624714e-05,3.24111532210945e-05,3.24111532210945e-05
76.6412825651,5.66845480196816e-05,3.26535212781886e-05,3.26535212781886e-05
76.6472945892,5.69184807880529e-05,3.26704711646914e-05,3.26704711646914e-05
76.6533066132,5.663201910368e-05,3.27599925972444e-05,3.27599925972444e-05
76.6593186373,5.68130246844387e-05,3.28819410473767e-05,3.28819410473767e-05
76.6653306613,5.69727726964365e-05,3.30653299868202e-05,3.30653299868202e-05
76.6713426854,5.77408810065565e-05,3.33537395699111e-05,3.33537395699111e-05
76.6773547094,5.79761990142018e-05,3.35184238963272e-05,3.35184238963272e-05
76.6833667335,5.8716330698179e-05,3.37490081017899e-05,3.37490081017899e-05
76.6893787575,5.86307256959052e-05,3.39890960011734e-05,3.39890960011734e-05
76.6953907816,5.82560111653866e-05,3.41772980392969e-05,3.41772980392969e-05
76.7014028056,5.90543278138635e-05,3.41290804967128e-05,3.41290804967128e-05
