"angle [deg]","Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
20,75.69,0.00314706749415627,0.00241420022465322
20,75.72,0.00350033966725083,0.00245766310104911
20,75.75,0.00434785359672507,0.00253079638931575
20,75.78,0.00789893765255778,0.00268240020362964
20,75.81,0.322103307053867,0.00314808776240394
20,75.84,0.00600798561705707,0.00772399014996417
20,75.87,0.00280456059239775,0.00715875703487534
20,75.9,0.0024229093629784,0.00263993073474578
20,75.93,0.00234844932564282,0.0023809550739865
20,75.96,0.00234149238149128,0.00233338046576093
20,75.99,0.00235387197458459,0.00232501693869136
20,76.02,0.00237225182292633,0.00232773009220499
20,76.05,0.00239227965288358,0.00233428097460342
20,76.08,0.00241243474622377,0.00234231535304086
20,76.11,0.0024322055609739,0.0023509589536449
20,76.14,0.00245146671167318,0.00235986542775568
20,76.17,0.00247024433184273,0.00236889863180212
20,76.2,0.0024886220135486,0.00237801273846017
20,76.23,0.00250670191049251,0.00238720284318117
20,76.26,0.00252458877252726,0.00239648331435016
20,76.29,0.00254238388136563,0.00240587792711211
20,76.32,0.00256018334222319,0.00241541531146139
20,76.35,0.00257807828568113,0.00242512691687591
20,76.38,0.00259615588009443,0.00243504622086321
20,76.41,0.00261450066256963,0.00244520858166597
20,76.44,0.00263319597731948,0.00245565144598403
20,76.47,0.00265232544414007,0.00246641477399323
20,76.5,0.00267197444421918,0.00247754162030789
20,76.53,0.00269223164298515,0.00248907885078897
20,76.56,0.00271319058755437,0.00250107799942245
20,76.59,0.00273495142829416,0.00251359628598347
20,76.62,0.00275762282511449,0.00252669782939141
20,76.65,0.00278132411047027,0.00254045510473622
20,76.68,0.00280618779790154,0.0025549507093291
20,76.71,0.00283236254498587,0.00257027952268085
20,76.74,0.00286001670933411,0.00258655137354213
20,76.77,0.00288934267529051,0.00260389436370567
20,76.8,0.0029205621836117,0.00262245904966774
20,76.83,0.00295393297247171,0.00264242375536616
20,76.86,0.00298975714361205,0.0026640013907151
20,76.89,0.00302839181734194,0.00268744829728984
20,76.92,0.00307026285451339,0.00271307585650815
20,76.95,0.00311588273396746,0.00274126591234714
20,76.98,0.00316587413102842,0.00277249153834602
20,77.01,0.00322100142606474,0.0028073454123454
20,77.04,0.00328221341281532,0.00284657921232268
20,77.07,0.0033507020910033,0.00289115928901085
20,77.1,0.00342798499068953,0.00294234689879769
20,77.13,0.00351602263641104,0.00300181639001251
20,77.16,0.00361738970105241,0.00307183363402597
20,77.19,0.00373553031922536,0.00315553302327176
20,77.22,0.00387514919459586,0.00325736139873212
20,77.25,0.00404282914225329,0.003383816130892
20,77.28,0.00424804074660379,0.00354472604489342
20,77.31,0.00450486147517026,0.00375559020228844
20,77.34,0.00483504631228926,0.00404211716371694
20,77.37,0.00527383643395851,0.00444972157712376
20,77.4,0.00588174588961377,0.00506536333804697
20,77.43,0.00677067476230298,0.00607437077696571
20,77.46,0.00816871942120412,0.00793552394229236
20,77.49,0.0106076639359519,0.0120730102350852
20,77.52,0.0155990166102969,0.0250172301079687
20,77.55,0.0290950044943131,0.11896733999207
20,77.58,0.0963281925451737,0.265805664509888
20,77.61,0.692490384978569,0.0281331418737313
20,77.64,0.0531033176210826,0.0105869107534093
20,77.67,0.016989189766181,0.00633119962411233
20,77.7,0.0239078228271004,0.00480534040301528
20,77.73,0.139428991320662,0.00420614643404371
20,77.76,0.0114869924304957,0.00407435995126038
20,77.79,0.0059330722138129,0.00434047421967543
20,77.82,0.00440882967171785,0.00524961590181583
20,77.85,0.00377018030367071,0.00799835893985257
20,77.88,0.00345660824389271,0.0211137122352314
20,77.91,0.00329609905075601,0.576353176878652
20,77.94,0.00321948969119656,0.0321135116952755
20,77.97,0.00319421498464323,0.00890446255060029
20,78,0.00320336249671405,0.00513493776383089
30,75,0.00263098582419852,0.0022941683269232
30,75.03,0.00265570718134289,0.00230308245521071
30,75.06,0.00268222867448475,0.0023122943700018
30,75.09,0.00271074084924272,0.00232182779406831
30,75.12,0.00274147589141926,0.00233171124277254
30,75.15,0.00277471421718778,0.00234197868388986
30,75.18,0.00281079315598454,0.00235267041247067
30,75.21,0.00285011829332682,0.00236383419014896
30,75.24,0.00289317825667745,0.00237552671937957
30,75.27,0.0029405640294432,0.00238781555023282
30,75.3,0.0029929943114374,0.0024007815571172
30,75.33,0.00305134907167059,0.00241452217857852
30,75.36,0.00311671436535588,0.00242915569524516
30,75.39,0.00319044287662851,0.00244482694311043
30,75.42,0.00327423677168193,0.0024617150445907
30,75.45,0.00337026275622954,0.00248004402639368
30,75.48,0.00348131450303668,0.00250009764757342
30,75.51,0.00361104621613306,0.00252224049781458
30,75.54,0.00376431550838485,0.00254694865281602
30,75.57,0.00394769863979183,0.00257485527871393
30,75.6,0.00417028554660059,0.00260682031052961
30,75.63,0.00444494435523535,0.00264404020271802
30,75.66,0.00479040432424205,0.00268822695735882
30,75.69,0.00523483035247774,0.00274191229950416
30,75.72,0.00582226232813332,0.00280898988437228
30,75.75,0.00662491487490002,0.00289573894471262
30,75.78,0.00776842744113138,0.00301289717843756
30,75.81,0.00948864762845492,0.00318024294145025
